iter	RMSE
0	27.00868365
1	25.93425055
2	24.87914796
3	23.99337841
4	23.096966
5	22.2384044
6	21.45740504
7	20.73299273
8	20.11134784
9	19.46510607
10	18.90085382
11	18.41361251
12	17.89116191
13	17.42348326
14	16.97682732
15	16.58957744
16	16.22236006
17	15.87525729
18	15.5652591
19	15.27943996
20	15.02229343
21	14.77757671
22	14.55593015
23	14.34685926
24	14.15800646
25	14.00176305
26	13.84125175
27	13.72030448
28	13.60444986
29	13.49688789
30	13.38746459
31	13.28719327
32	13.18495946
33	13.10751036
34	13.03517961
35	12.95931724
36	12.89612329
37	12.82536505
38	12.76416867
39	12.71365712
40	12.66358228
41	12.62508155
42	12.59268249
43	12.55535364
44	12.52773388
45	12.49600794
46	12.4649517
47	12.44230072
48	12.42893578
49	12.40538825
50	12.38293193
51	12.37010169
52	12.35286512
53	12.34131081
54	12.32432803
55	12.31017599
56	12.29390256
57	12.28393875
58	12.27222018
59	12.25832628
60	12.24759219
61	12.24020866
62	12.23049422
63	12.2235018
64	12.21666362
65	12.21092861
66	12.20779412
67	12.20376054
68	12.19561996
69	12.19361603
70	12.18899949
71	12.18511923
72	12.17923132
73	12.17579219
74	12.1698957
75	12.16888555
76	12.16532937
77	12.15826191
78	12.15769495
79	12.15553294
80	12.15209172
81	12.14977749
82	12.14448124
83	12.14223118
84	12.13758315
85	12.13574335
86	12.1345689
87	12.13175681
88	12.13051031
89	12.12911536
90	12.12562399
91	12.12457914
92	12.12429257
93	12.12038785
94	12.11889363
95	12.11763974
96	12.11653375
97	12.11409353
98	12.11302218
99	12.11145648
100	12.11035582
101	12.10917594
102	12.10699201
103	12.10591947
104	12.10366283
105	12.102394
106	12.10187721
107	12.10079986
108	12.09970756
109	12.0987812
110	12.09779024
111	12.09651222
112	12.09610569
113	12.09584693
114	12.0950541
115	12.09362903
116	12.0920163
117	12.0904023
118	12.08910343
119	12.08772126
120	12.08627985
121	12.08564227
122	12.08514518
123	12.08431684
124	12.0835943
125	12.08337993
126	12.08250342
127	12.08185452
128	12.08102988
129	12.08055015
130	12.07990609
131	12.07900409
132	12.07837479
133	12.07785244
134	12.07724452
135	12.07708039
136	12.07647945
137	12.07575819
138	12.07546463
139	12.07499508
140	12.07442571
141	12.07361676
142	12.07314395
143	12.07302554
144	12.07220284
145	12.0714022
146	12.07069989
147	12.07040537
148	12.06972477
149	12.06916612
150	12.06815967
151	12.06758573
152	12.06667064
153	12.06605747
154	12.06585661
155	12.06550365
156	12.06525455
157	12.06503037
158	12.0648155
159	12.06414817
160	12.06390403
161	12.0635474
162	12.06323002
163	12.06275836
164	12.0616825
165	12.06161118
166	12.06149548
167	12.0613826
168	12.06094918
169	12.06032032
170	12.05995074
171	12.05951985
172	12.05934558
173	12.05900813
174	12.05878392
175	12.05843926
176	12.05806528
177	12.05793889
178	12.05774232
179	12.05772377
180	12.05721484
181	12.05682019
182	12.05651137
183	12.05638649
184	12.0563161
185	12.05595874
186	12.055675
187	12.05550798
188	12.05535624
189	12.05494791
190	12.05464288
191	12.05439174
192	12.05420349
193	12.05406727
194	12.05390181
195	12.05364149
196	12.05334972
197	12.05322547
198	12.0529776
199	12.05263872
200	12.05237156
201	12.05236256
202	12.05216578
203	12.0516065
204	12.05140124
205	12.05133144
206	12.05069573
207	12.05015951
208	12.05006088
209	12.0498871
210	12.04974412
211	12.04929676
212	12.0490774
213	12.04898641
214	12.04875315
215	12.04845388
216	12.04833676
217	12.04782315
218	12.04768467
219	12.04733114
220	12.04718164
221	12.04695564
222	12.04663366
223	12.04639556
224	12.0460744
225	12.04593644
226	12.04575701
227	12.0455082
228	12.04524188
229	12.0450359
230	12.04497859
231	12.04483549
232	12.04475522
233	12.04460065
234	12.04450226
235	12.04440313
236	12.0442284
237	12.04402395
238	12.04395267
239	12.04388476
240	12.04368162
241	12.04357936
242	12.04343677
243	12.04315492
244	12.04296037
245	12.04267135
246	12.04258269
247	12.04246945
248	12.04234115
249	12.04223962
250	12.04207412
251	12.04192203
252	12.04182879
253	12.04168044
254	12.04161162
255	12.04150981
256	12.04141893
257	12.04133214
258	12.04124508
259	12.0411755
260	12.04099738
261	12.04086956
262	12.0407746
263	12.04066464
264	12.04061242
265	12.04047552
266	12.04035126
267	12.0402378
268	12.04012418
269	12.04003504
270	12.03996649
271	12.03986419
272	12.03975096
273	12.0395612
274	12.03950715
275	12.03943531
276	12.03937152
277	12.03926828
278	12.03911608
279	12.03904513
280	12.03896648
281	12.03893952
282	12.03877885
283	12.03871499
284	12.03864564
285	12.03854089
286	12.03847396
287	12.03834976
288	12.03827053
289	12.0382343
290	12.03815507
291	12.03811384
292	12.03804394
293	12.03798836
294	12.03786905
295	12.03782282
296	12.0377573
297	12.03766557
298	12.03758855
299	12.03753668
300	12.03741189
301	12.03735919
302	12.03728463
303	12.03722144
304	12.03717694
305	12.03713751
306	12.03708299
307	12.03703958
308	12.03695689
309	12.03689947
310	12.03683327
311	12.03678729
312	12.03673677
313	12.03662295
314	12.03657394
315	12.03649521
316	12.03642012
317	12.03639014
318	12.03636346
319	12.03634225
320	12.0362981
321	12.03627458
322	12.03619773
323	12.03613943
324	12.03612235
325	12.03607299
326	12.03602383
327	12.03596134
328	12.03591451
329	12.03589437
330	12.03584232
331	12.03581108
332	12.03575368
333	12.03570735
334	12.03568553
335	12.03565512
336	12.03560963
337	12.03556774
338	12.03553504
339	12.03550263
340	12.0354452
341	12.03538939
342	12.03530824
343	12.0352679
344	12.03522079
345	12.03516198
346	12.03513108
347	12.03510079
348	12.0350799
349	12.03504933
350	12.03503085
351	12.03499956
352	12.03496904
353	12.03493895
354	12.03492218
355	12.03487973
356	12.03485881
357	12.03479155
358	12.03475747
359	12.03474609
360	12.03469766
361	12.0346849
362	12.03463085
363	12.03461143
364	12.03458946
365	12.0345319
366	12.03448492
367	12.03444249
368	12.03441031
369	12.03439129
370	12.03435681
371	12.03432347
372	12.03431562
373	12.0343044
374	12.03429287
375	12.03428222
376	12.03424094
377	12.03420098
378	12.03417938
379	12.03415298
380	12.03413823
381	12.03413323
382	12.03409716
383	12.03405042
384	12.03401711
385	12.03399941
386	12.03399088
387	12.03396167
388	12.03393285
389	12.03390981
390	12.03387831
391	12.03386507
392	12.03385174
393	12.033832
394	12.03380738
395	12.03378261
396	12.0337696
397	12.03375091
398	12.03371628
399	12.03367908
400	12.03362558
401	12.03360503
402	12.03358939
403	12.03358749
404	12.03356828
405	12.0335178
406	12.03350198
407	12.03348583
408	12.03347181
409	12.03344555
410	12.03341926
411	12.03339286
412	12.03336597
413	12.03335028
414	12.03333017
415	12.03330378
416	12.03328589
417	12.03326255
418	12.03326041
419	12.03325378
420	12.03322576
421	12.03321688
422	12.03319586
423	12.03317783
424	12.03316239
425	12.03314818
426	12.0331308
427	12.03312485
428	12.03311697
429	12.03310584
430	12.03310266
431	12.03309739
432	12.03309244
433	12.03308792
434	12.03308411
435	12.03308008
436	12.03306794
437	12.03305447
438	12.03304874
439	12.03302663
440	12.03302328
441	12.03300557
442	12.03298586
443	12.03297521
444	12.03296336
445	12.03295402
446	12.032939
447	12.0329279
448	12.03291045
449	12.03290176
450	12.03288868
451	12.03287804
452	12.03287153
453	12.0328571
454	12.03284299
455	12.03283716
456	12.03282708
457	12.03280705
458	12.03279265
459	12.03278554
460	12.03275642
461	12.03273845
462	12.03273605
463	12.03273265
464	12.03272543
465	12.0327186
466	12.03271366
467	12.03270179
468	12.03269942
469	12.0326887
470	12.03267741
471	12.03267517
472	12.03266746
473	12.03265718
474	12.03265461
475	12.03264834
476	12.0326403
477	12.0326248
478	12.03261368
479	12.03260422
480	12.03260051
481	12.03259758
482	12.03258582
483	12.032577
484	12.03257499
485	12.03257199
486	12.03256491
487	12.03254327
488	12.03253993
489	12.0325292
490	12.03252048
491	12.03251689
492	12.03250247
493	12.03248924
494	12.03248594
495	12.03248308
496	12.03246412
497	12.03246157
498	12.03245181
499	12.03244547
500	12.03243351
501	12.03242579
502	12.03241958
503	12.03241096
504	12.03240082
505	12.0323956
506	12.03239092
507	12.03238876
508	12.03238109
509	12.03237775
510	12.03237209
511	12.03236487
512	12.03236266
513	12.03235509
514	12.03235359
515	12.03235045
516	12.03234893
517	12.03234643
518	12.032328
519	12.0323251
520	12.03231933
521	12.03231457
522	12.03231247
523	12.03230811
524	12.03229689
525	12.03228976
526	12.03228325
527	12.03227834
528	12.03227555
529	12.03227436
530	12.03226745
531	12.03226555
532	12.0322605
533	12.03225956
534	12.03225386
535	12.03225054
536	12.03224655
537	12.03224414
538	12.03223293
539	12.03222583
540	12.03222261
541	12.03222099
542	12.03222021
543	12.03221218
544	12.03220584
545	12.032201
546	12.03219592
547	12.03218761
548	12.03218493
549	12.03217846
550	12.03216894
551	12.03216549
552	12.03216481
553	12.03216393
554	12.03216322
555	12.03216137
556	12.03215891
557	12.03214772
558	12.03214317
559	12.03214189
560	12.03213998
561	12.03213591
562	12.03213468
563	12.03213388
564	12.0321198
565	12.03211856
566	12.0321159
567	12.0321091
568	12.03210286
569	12.03209948
570	12.03209773
571	12.03209086
572	12.03208797
573	12.03208649
574	12.03208209
575	12.03208008
576	12.0320731
577	12.03207234
578	12.03206695
579	12.03206646
580	12.03206072
581	12.03205924
582	12.03205567
583	12.03205448
584	12.0320536
585	12.03204679
586	12.0320414
587	12.03204089
